"시도별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"시도별",10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg)
"계",2121,2053,2206,2420,2520,2035,2145,2198,2302,2089
"서울특별시",0,2500,2500,0,0,0,2534,2592,2576,2551
"부산광역시",2130,2498,2213,2461,2391,2181,1942,1859,1884,1888
"대구광역시",1700,2140,1600,1926,1800,1560,1700,1476,1546,1547
"인천광역시",2397,2100,2063,2436,2388,2060,2071,2040,2047,2069
"광주광역시",2325,2069,2306,1900,0,1800,1899,2005,1897,1904
"대전광역시",1840,1750,1400,1833,1300,1767,1674,1260,1680,1655
"울산광역시",2344,2350,2305,2325,2325,2327,2406,2567,2361,2339
"세종특별자치시",-,-,-,-,-,1686,2180,1865,2072,1614
"경기도",2013,1975,2038,2427,2584,1990,1854,1983,1999,1955
"강원도",2034,2078,1951,2095,1786,1789,1658,1932,1599,1564
"충청북도",2108,2087,2487,2488,2326,2676,1947,1811,2281,1069
"충청남도",1947,1982,1983,2501,2434,1970,2355,2761,2488,1936
"전라북도",2130,2080,2412,1903,2105,1950,1867,1600,1922,1909
"전라남도",2385,2149,2686,2642,2888,2343,2326,2069,2689,2571
"경상북도",1681,1694,1704,1896,1941,1776,1827,1920,1895,2143
"경상남도",1946,1951,1965,1894,1930,2068,1971,2057,1838,1849
"제주도",2094,2095,1550,2101,1825,1779,2006,1700,2036,2021
